44509564	44509564
44509565	4070855
44509566	44509566
44509567	44509567
44509568	4074215
44509569	4295728
44509570	4140875
44509571	4139548
44509572	4071281
44509573	4144935
44509574	44509574
44509575	4029954
44509576	4070365
44509577	4071282
44509578	4069165
44509579	40488475
44509580	4070858
44509581	44509581
44509582	44509582
44509583	4220195
44509584	4296537
44509585	4067087
44509586	44509586
44509587	44509587
44509588	4066523
44509589	4067214
44509590	4066526
44509591	4067215
44509592	42872491
44509593	4067088
44509594	4128699
44509595	44509595
44509596	4142233
44509597	4067091
44509598	4066299
44509599	4122236
44509600	4066530
44509601	44509601
44509602	44509602
44509603	4067216
44509604	4223519
44509605	4147053
44509606	4058673
44509607	4066533
44509608	44509608
44509609	4042013
44509610	4049342
44509611	44509611
44509612	44509612
44509613	44509613
44509614	4264265
44509615	4144705
44509616	4128700
44509617	4282082
44509618	4142235
44509619	44509619
44509620	4141444
44509621	4066391
44509622	4066392
44509623	4096022
44509624	4284254
44509625	4066536
44509626	44509626
44509627	4067092
44509628	4139024
44509629	4144706
44509630	4066393
44509631	4066394
44509632	44509632
44509633	4144706
44509634	4067227
44509635	4195238
44509636	44509636
44509637	4170058
44509638	4067095
44509639	4066539
44509640	4067096
44509641	4067229
44509642	44509642
44509643	4144313
44509644	4142406
44509645	44509645
44509646	4066538
44509647	4067232
44509648	4067233
44509649	42872475
44509650	4139025
44509651	4142433
44509652	4143680
44509653	4137881
44509654	44509654
44509655	4118286
44509656	4066401
44509657	4143112
44509658	NULL
44509659	44509659
44509660	4193665
44509661	4068152
44509662	4068153
44509663	4068154
44509664	4067101
44509665	44509665
44509666	4067100
44509667	4068157
44509668	4071430
44509669	40489439
44509670	4140876
44509671	4145981
44509672	44509672
44509673	4118287
44509674	4066625
44509675	44790458
44509676	44509676
44509677	4146752
44509678	4066403
44509679	4067105
44509680	44509680
44509681	4266025
44509682	40493292
44509683	44509683
44509684	4170058
44509685	NULL
44509686	NULL
44509687	NULL
44509688	NULL
44509689	NULL
44509690	NULL
44509691	4144707
44509692	44509692
44509693	4139027
44509694	4140879
44509695	44509695
44509696	4070862
44509697	44509697
44509698	4139026
44509699	4070864
44509700	44509700
44509701	4070865
44509702	44509702
44509703	4070863
44509704	NULL
44509705	NULL
44509706	NULL
44509707	4070372
44509708	4088171
44509709	4071534
44509710	4070373
44509711	44509711
44509712	44509712
44509713	4131021
44509714	44509714
44509715	4071537
44509716	44509716
44509717	4322713
44509718	4227605
44509719	44509719
44509720	4174035
44509721	4070870
44509722	44509722
44509723	4070376
44509724	4120481
44509725	4070377
44509726	44509726
44509727	4070375
44509728	4312953
44509729	4139029
44509730	4144458
44509731	4141672
44509732	40482679
44509733	44509733
44509734	4071539
44509735	4071543
44509736	4070380
44509737	4144708
44509738	4071542
44509739	4070463
44509740	4068350
44509741	44789819
44509742	44509742
44509743	4123892
44509744	4071546
44509745	4069250
44509746	4071545
44509747	4070872
44509748	4144141
44509749	44789820
44509750	44509750
44509751	4069249
44509752	44509752
44509753	4171187
44509754	4307444
44509755	44509755
44509756	4070466
44509757	4323125
44509758	44789822
44509759	44509759
44509760	4069249
44509761	4244866
44509762	4224661
44509763	4071286
44509764	4132297
44509765	4070467
44509766	44509766
44509767	4204677
44509768	4069351
44509769	4307242
44509770	44509770
44509771	4070478
44509772	4285044
44509773	4123756
44509774	4132297
44509775	44509775
44509776	4147849
44509777	4069261
44509778	4071289
44509779	4071290
44509780	4274019
44509781	44509781
44509782	4275669
44509783	4142551
44509784	44509784
44509785	4040299
44509786	4070472
44509787	4069262
44509788	4181652
44509789	4188600
44509790	4071292
44509791	4070473
44509792	44509792
44509793	4070472
44509794	4071294
44509795	4071552
44509796	44509796
44509797	4125154
44509798	4140316
44509799	4142727
44509800	44509800
44509801	4071403
44509802	4071404
44509803	4071553
44509804	4071405
44509805	4069265
44509806	4071403
44509807	44805430
44509808	4141512
44509809	44509809
44509810	4071403
44509811	4069266
44509812	4071406
44509813	4142240
44509814	4140311
44509815	NULL
44509816	4142409
44509817	4144764
44509818	44509818
44509819	4297516
44509820	4071407
44509821	44509821
44509822	NULL
44509823	4138774
44509824	44509824
44509825	4139148
44509826	4144881
44509827	42872583
44509828	42872583
44509829	4071410
44509830	4071411
44509831	4071646
44509832	4071412
44509833	44509833
44509834	4140528
44509835	4048429
44509836	4071648
44509837	4046291
44509838	NULL
44510080	44510080
44510081	4069010
44510082	4068417
44510083	4069011
44510084	4308819
44510085	44510085
44510086	44510086
44510087	4066875
44510088	4068506
44510089	4195632
44510090	44510090
44510091	4068507
44510092	4067344
44510093	44510093
44510094	4250024
44510095	4067345
44510096	4066877
44510097	4066878
44510098	4196932
44510099	44510099
44510100	4192247
44510101	4067352
44510102	NULL
44510103	NULL
44510104	NULL
44510105	4066882
44510106	NULL
44510107	NULL
44510108	NULL
44510109	NULL
44510110	NULL
44510111	NULL
44510112	NULL
44510113	NULL
44510114	4066963
44510115	4067444
44510116	NULL
44510117	4067445
44510118	44510118
44510119	4264064
44510120	4074077
44510121	4068516
44510122	44789838
44510123	44510123
44510124	4074077
44510125	4104344
44510126	4066965
44510127	4223377
44510128	4069110
44510129	44510129
44510130	4068517
44510131	NULL
