sourceDomain	sourceId	sourceTerm	certainty	reviewStatus	omopDomainId	omopConceptId	omopConceptName	usedCount
urn:unit	BHCG	BHCG	0	0	Unit	0	Unknown	4
urn:unit	u/mm/cre	u/mm/cre	0	0	Unit	0	Unknown	4
urn:unit	/microlitre	/microlitre	1	1	Unit	8647	per microliter	3
urn:unit	nmol/g	nmol/g	1	1	Unit	9609	nanomole per gram	3
urn:unit	mg%	mg%	1	1	Unit	8554	percent	3
urn:unit	ug/24h	ug/24h	1	1	Unit	8906	microgram per 24 hours	3
urn:unit	ng/gm	ng/gm	1	1	Unit	8701	nanogram per gram	2
urn:unit	L	L	1	1	Unit	8519	liter	1
urn:unit	pM10*9/L	pM10*9/L	0	0	Unit	0	Unknown	2
urn:unit	gc/mL	gc/mL	0	0	Unit	0	Unknown	1
urn:unit	micron/second	micron/second	0	0	Unit	0	Unknown	1
urn:unit	mmol/mmol	mmol/mmol	1	1	Unit	44777618	millimole per millimole	2
