sourceDomain	sourceId	sourceTerm	certainty	review	omopDomainId	omopConceptId	omopConceptName	usedCount
urn:ordercomms:rtest:textual-result	Large Numbers (+++)	Large Numbers (+++)	0.206507952	1	Meas Value	4125547	+++	11625
urn:ordercomms:rtest:textual-result	Streptococcus Group G	Streptococcus Group G	0.558273896	1	Meas Value	4326764	"Streptococcus, group G"	11225
urn:ordercomms:rtest:textual-result	Streptococcus sp.	Streptococcus sp.	0.622035527	1	Meas Value	4240344	Streptococcus	10939
urn:ordercomms:rtest:textual-result	Gardnerella vaginalis	Gardnerella vaginalis	1	1	Meas Value	4274639	Gardnerella vaginalis	7675
urn:ordercomms:rtest:textual-result	Trichophyton rubrum	Trichophyton rubrum	1	1	Meas Value	4290329	Trichophyton rubrum	7510
urn:ordercomms:rtest:textual-result	Streptococcus pneumoniae	Streptococcus pneumoniae	1	1	Meas Value	4321152	Streptococcus pneumoniae	6959
urn:ordercomms:rtest:textual-result	Yeast +	Yeast +	0.552786405	1	Meas Value	4265186	Yeast	6903
urn:ordercomms:rtest:textual-result	No growth after 8 weeks incubation.	No growth after 8 weeks incubation.	0.213204208	1	Meas Value	4139623	No growth	6268
urn:ordercomms:rtest:textual-result	Yeast scanty	Yeast scanty	0.316869949	1	Meas Value	4265186	Yeast	5596
urn:ordercomms:rtest:textual-result	MSSA Isolated	MSSA Isolated	0.351114315	1	Meas Value	4168510	Methicillin susceptible Staphylococcus aureus	5583
urn:ordercomms:rtest:textual-result	Streptococcus Group C	Streptococcus Group C	0.59175171	1	Meas Value	4304555	Streptococcus group C variant	4779
urn:ordercomms:rtest:textual-result	No Growth after 32 hours incubation.	No Growth after 32 hours incubation.	0.207594184	1	Meas Value	4139623	No growth	4689
urn:ordercomms:rtest:textual-result	Staphylococcus saprophyticus	Staphylococcus saprophyticus	1	1	Meas Value	4055349	Staphylococcus saprophyticus	4195
urn:ordercomms:rtest:textual-result	DETECTED	DETECTED	1	1	Meas Value	4126681	Detected	4052
urn:ordercomms:rtest:textual-result	Moraxella catarrhalis	Moraxella catarrhalis	1	1	Meas Value	4087087	Moraxella catarrhalis	3699
urn:ordercomms:rtest:textual-result	Yeast ++	Yeast ++	0.477767032	1	Meas Value	4265186	Yeast	3186
urn:ordercomms:rtest:textual-result	Bacteroides sp.	Bacteroides sp.	0.59175171	1	Meas Value	4212359	Bacteroides	3110
urn:ordercomms:rtest:textual-result	Klebsiella pneumoniae	Klebsiella pneumoniae	1	1	Meas Value	4209452	Klebsiella pneumoniae	2822
urn:ordercomms:rtest:textual-result	Trichophyton interdigitale	Trichophyton interdigitale	1	1	Meas Value	4294390	Trichophyton interdigitale	2587
urn:ordercomms:rtest:textual-result	Streptococcus (Groups C/G)	Streptococcus (Groups C/G)	0.407251022	1	Meas Value	4240344	Streptococcus	2361
urn:ordercomms:rtest:textual-result	C. difficile toxin NOT detected.	C. difficile toxin NOT detected.	0.25998713	1	Meas Value	9190	Not detected	2345
urn:ordercomms:rtest:textual-result	Pseudomonas aeruginosa	Pseudomonas aeruginosa	1	1	Meas Value	4198675	Pseudomonas aeruginosa	2102
